# ============================================================
# QUERY EXPANSION DATASET — synonyms.txt
# Format: canonical_term,synonym1,synonym2,...
# Every term on a row maps to all other terms on that row.
# ============================================================
 
# ============================================================
# SECTION 1: BRITISH ↔ AMERICAN SPELLING VARIANTS
# ============================================================
colour,color
stupid,dumb,foolish,ignorant,obtuse,dense,dim,unintelligent,naive,senseless
 
# Emotions — Positive
happy,joyful,pleased,content,glad,cheerful,elated,delighted,ecstatic,jubilant,blissful
sad,unhappy,sorrowful,melancholy,gloomy,dejected,miserable,heartbroken,downcast,despondent
angry,furious,irate,enraged,livid,incensed,outraged,agitated,irritated,annoyed,wrathful
scared,afraid,fearful,terrified,frightened,anxious,nervous,apprehensive,timid,panicked
 
# Quality
good,great,excellent,superb,outstanding,exceptional,wonderful,fantastic,magnificent,splendid,fine
bad,poor,terrible,awful,dreadful,horrible,lousy,inferior,subpar,deficient,mediocre
 
# Actions — Common
start,begin,initiate,launch,commence,kick off,open,trigger,activate,start up
stop,end,halt,cease,terminate,conclude,finish,discontinue,suspend,abort,quit
create,build,generate,make,produce,construct,design,develop,craft,fabricate,form
delete,remove,erase,drop,purge,eliminate,clear,wipe,destroy,discard,expunge
search,query,find,lookup,retrieve,locate,discover,seek,browse,scan,explore
update,modify,change,edit,revise,alter,adjust,amend,correct,refresh,patch
send,transmit,dispatch,deliver,forward,relay,transfer,submit,post,push,emit
receive,get,obtain,fetch,download,retrieve,accept,collect,acquire,pull,grab
show,display,render,present,visualise,exhibit,reveal,expose,output,print
hide,conceal,mask,suppress,remove,obscure,collapse,fold,dismiss
 
# Computing Actions
install,setup,deploy,configure,provision,initialise,bootstrap
run,execute,launch,trigger,invoke,call,start,fire
debug,troubleshoot,diagnose,trace,inspect,profile,analyse
test,validate,verify,check,assert,evaluate,audit,benchmark
compile,build,transpile,minify,bundle,package
refactor,rewrite,restructure,reorganise,clean,rearchitect
cache,store,persist,buffer,save,memoize
encrypt,encode,hash,obfuscate,scramble,cipher
decrypt,decode,decipher,unhash
 
# Errors & Problems
error,bug,fault,defect,issue,problem,glitch,flaw,failure,exception,crash,anomaly
fix,repair,resolve,patch,correct,debug,solve,address,remediate,rectify,restore
warning,alert,notice,caution,notification,flag,signal,hint
 
# Document / Text
document,file,record,report,paper,note,entry,item,artifact
text,content,string,body,message,data,payload,copy,prose
word,term,token,keyword,phrase,label,tag,identifier
paragraph,section,block,chunk,segment,passage,snippet
summary,overview,abstract,synopsis,digest,recap,outline,brief
article,post,blog,entry,writeup,piece,story,publication
 
# People / Roles
user,person,member,individual,account,client,customer,end user
admin,administrator,superuser,root,manager,operator
developer,dev,engineer,programmer,coder,contributor,builder
designer,ux,ui designer,creative,artist
analyst,data scientist,researcher,scientist,investigator
 
# ============================================================
# SECTION 4: DOMAIN-SPECIFIC SYNONYMS
# ============================================================
 
# E-commerce
buy,purchase,order,checkout,acquire,procure,shop
sell,list,offer,vend,market,retail,trade
cart,basket,bag,trolley,wishlist
payment,transaction,charge,billing,invoice,receipt,checkout
delivery,shipping,dispatch,fulfilment,logistics
 
# Search / Information Retrieval
index,inverted index,search index,lookup table
relevance,ranking,score,weight,similarity
query,search term,keyword,input,request
document,result,hit,match,record,page,entry
stemming,lemmatisation,normalisation,root form
stopword,common word,noise word,filler word
tokenise,tokenize,parse,split,segment,break
 
# Finance
revenue,income,earnings,sales,turnover,receipts
cost,expense,spend,expenditure,outlay,overhead,charge
profit,gain,surplus,net income,margin
loss,deficit,shortfall,negative margin
budget,forecast,estimate,projection,plan,allocation
asset,resource,holding,property,investment
liability,debt,obligation,payable,burden
equity,ownership,stake,share,net worth
tax,levy,duty,tariff,surcharge,VAT,GST
 
# Healthcare
doctor,physician,clinician,medical doctor,practitioner,GP
patient,individual,person,case,subject
medicine,drug,medication,pharmaceutical,remedy,treatment,therapy
hospital,clinic,medical centre,health centre,ward,facility
diagnosis,assessment,evaluation,finding,prognosis
symptom,sign,indicator,manifestation,complaint
surgery,operation,procedure,intervention
vaccine,immunisation,inoculation,shot,jab
 
# Legal
law,legislation,statute,regulation,rule,ordinance,act
court,tribunal,judiciary,bench,forum
contract,agreement,deed,covenant,pact,MOU
clause,provision,section,term,condition,article
plaintiff,claimant,petitioner,complainant,applicant
defendant,respondent,accused
lawyer,attorney,counsel,solicitor,barrister,advocate,legal advisor
verdict,judgement,ruling,decision,finding,order
 
# Education
student,learner,pupil,trainee,attendee,scholar
teacher,instructor,educator,tutor,professor,lecturer,faculty
course,class,module,subject,curriculum,programme
exam,test,assessment,quiz,evaluation,assignment
grade,mark,score,result,rating,GPA
 
# ============================================================
# SECTION 5: PROGRAMMING LANGUAGE ALIASES
# ============================================================
js,javascript,ecmascript,es6,es2015
ts,typescript
py,python
rb,ruby
rs,rust
go,golang
cs,csharp,c#
cpp,c++,cplusplus
java,jvm
kt,kotlin
swift,swiftlang
php,hypertext,preprocessor
r,rlang,r language
scala,scalang
hs,haskell
erl,erlang
ex,elixir
lua,lualang
pl,perl
sh,bash,shell,zsh,ksh
asm,assembly,assembler
sql,structured query language,ansi sql,t-sql,pl-sql,mysql,postgresql,sqlite
